Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km)
FORD,EDGE AWD,SUV - SMALL,3.7,6,AS6,X,13.7
FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4
FORD,ESCAPE,SUV - SMALL,2,4,AS6,X,10.9
FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5
FORD,ESCAPE AWD,SUV - SMALL,2,4,AS6,X,11.2
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5
FORD,EXPLORER,SUV - STANDARD,2,4,A6,X,11.8
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.3
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.3
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,18.9
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6
FORD,F-150,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.9
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.4
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18.8
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18.8
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,A6,X,16.4
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,A6,E,22.1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,AS6,X,16.4
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,AS6,E,22.1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,15
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,E,20.2
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,15
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.2
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,A6,X,16.8
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,A6,E,22.4
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS6,X,16.7
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS6,E,22.4
FORD,F-150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.4
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.5
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.6
FORD,FIESTA SFE,SUBCOMPACT,1,4,M5,X,7.5
FORD,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,X,8
FORD,FIESTA ST,COMPACT,1.6,4,M6,X,8.9
FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.2
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7
FORD,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.8
FORD,FOCUS,COMPACT,2,4,M6,X,10.2
FORD,FOCUS FFV,COMPACT,2,4,A6,X,8.8
FORD,FOCUS FFV,COMPACT,2,4,A6,E,11.7
FORD,FOCUS FFV,COMPACT,2,4,AS6,X,8.9
FORD,FOCUS FFV,COMPACT,2,4,AS6,E,11.7
FORD,FOCUS FFV,COMPACT,2,4,M5,X,9.1
FORD,FOCUS FFV,COMPACT,2,4,M5,E,11.9
FORD,FOCUS SFE FFV,COMPACT,2,4,A6,X,8.4
FORD,FOCUS SFE FFV,COMPACT,2,4,A6,E,11.6
FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.1
FORD,FUSION,MID-SIZE,1.6,4,M6,X,9.4
FORD,FUSION,MID-SIZE,2,4,AS6,X,10.5
FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5
FORD,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.5
FORD,FUSION AWD,MID-SIZE,2,4,AS6,X,10.9
FORD,FUSION HYBRID,MID-SIZE,2,4,AV,X,5.3
FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7
FORD,MUSTANG,SUBCOMPACT,5,8,A6,X,13.3
FORD,MUSTANG,SUBCOMPACT,5,8,M6,X,15.4
FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,3.7,6,A6,X,12.5
FORD,TAURUS,FULL-SIZE,2,4,AS6,X,10.5
FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.7
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.4
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.3
FORD,TRANSIT CONNECT TAXI,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,11.5
FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9
GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3
GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.9
GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5
GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4
GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,10.5
GMC,TERRAIN,SUV - SMALL,3.6,6,A6,X,13.9
GMC,TERRAIN,SUV - SMALL,3.6,6,A6,E,18.8
GMC,TERRAIN AWD,SUV - SMALL,2.4,4,A6,X,11.5
GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,X,14.8
GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,E,19.8
GMC,YUKON,SUV - STANDARD,5.3,8,A6,X,16
GMC,YUKON,SUV - STANDARD,5.3,8,A6,E,21.5
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,16
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,21.5
GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,Z,17
GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,E,23.3
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,Z,18.8
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,E,25.7
GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,X,16
GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,E,21.5
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,16
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,21.5
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,9
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,9.1
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,10.1
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,11
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,11.4
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,13
HONDA,ACCORD HYBRID,MID-SIZE,2,4,AV,X,4.7
HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,8.1
HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.5
HONDA,CROSSTOUR AWD,SUV - SMALL,3.5,6,A6,X,12.5
HONDA,CR-V,SUV - SMALL,2.4,4,A5,X,10.3
HONDA,CR-V AWD,SUV - SMALL,2.4,4,A5,X,10.6
HONDA,CR-Z,TWO-SEATER,1.5,4,AV7,X,6.6
HONDA,CR-Z,TWO-SEATER,1.5,4,M6,X,7.6
HONDA,FIT,STATION WAGON - SMALL,1.5,4,A5,X,8.3
HONDA,FIT,STATION WAGON - SMALL,1.5,4,M5,X,8.3
HONDA,ODYSSEY,MINIVAN,3.5,6,A6,X,12.3
HONDA,PILOT,SUV - SMALL,3.5,6,A5,X,13.3
HONDA,PILOT AWD,SUV - SMALL,3.5,6,A5,X,13.9
HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A5,X,15.2
HYUNDAI,ACCENT,COMPACT,1.6,4,A6,X,8.8
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.7
HYUNDAI,ELANTRA GT,MID-SIZE,2,4,A6,X,9.8
HYUNDAI,ELANTRA GT,MID-SIZE,2,4,M6,X,9.8
HYUNDAI,EQUUS,FULL-SIZE,5,8,A8,Z,15.7
HYUNDAI,GENESIS,FULL-SIZE,3.8,6,A8,X,13
HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,A6,X,13
HYUNDAI,SANTA FE 4WD,SUV - SMALL,3.3,6,A6,X,13.3
HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,A6,X,11.6
HYUNDAI,SANTA FE SPORT 4WD,SUV - SMALL,2,4,A6,X,12.9
HYUNDAI,SANTA FE SPORT 4WD,SUV - SMALL,2.4,4,A6,X,12.5
HYUNDAI,SONATA,FULL-SIZE,2,4,A6,X,11.4
HYUNDAI,SONATA,FULL-SIZE,2.4,4,A6,X,9.8
HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5
HYUNDAI,SONATA HYBRID LIMITED,MID-SIZE,2.4,4,AS6,X,6.6
HYUNDAI,TUCSON,SUV - SMALL,2,4,A6,X,10.2
HYUNDAI,TUCSON,SUV - SMALL,2,4,M6,X,11.4
HYUNDAI,TUCSON,SUV - SMALL,2.4,4,A6,X,11.3
HYUNDAI,TUCSON 4WD,SUV - SMALL,2,4,A6,X,11.4
HYUNDAI,TUCSON 4WD,SUV - SMALL,2.4,4,A6,X,11.6
HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.6
HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,9.1
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,A6,X,9.9
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.7
INFINITI,Q50,MID-SIZE,3.7,6,AS7,Z,12
INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,12.6
INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7
INFINITI,Q60 AWD COUPE,SUBCOMPACT,3.7,6,AS7,Z,13.3
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,AS7,Z,13.6
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,M6,Z,14.3
INFINITI,Q60 COUPE,SUBCOMPACT,3.7,6,AS7,Z,12.9
INFINITI,Q60 COUPE,SUBCOMPACT,3.7,6,M6,Z,13.5
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8
INFINITI,Q70,MID-SIZE,5.6,8,AS7,Z,14.5
INFINITI,Q70 AWD,MID-SIZE,3.7,6,AS7,Z,13.2
INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,15
INFINITI,Q70 HYBRID,MID-SIZE,3.5,6,AS7,Z,8
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,13.6
INFINITI,QX60,SUV - SMALL,3.5,6,AV,Z,11.9
INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV,Z,12.3
INFINITI,QX60 HYBRID AWD,SUV - STANDARD,2.5,4,AV,X,8.8
INFINITI,QX70 AWD,SUV - SMALL,3.7,6,AS7,Z,14.5
INFINITI,QX70 AWD,SUV - SMALL,5,8,AS7,Z,16.6
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,17.4
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,11.8
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,12.2
JAGUAR,F-TYPE V8 S CONVERTIBLE,TWO-SEATER,5,8,AS8,Z,15
JAGUAR,XF,MID-SIZE,2,4,AS8,Z,12.3
JAGUAR,XF 3.0L AWD,MID-SIZE,3,6,AS8,Z,14.7
JAGUAR,XFR,MID-SIZE,5,8,AS8,Z,15.7
JAGUAR,XFR,MID-SIZE,5,8,AS8,E,21.3
JAGUAR,XFR-S,MID-SIZE,5,8,AS8,Z,15.7
JAGUAR,XJ AWD,FULL-SIZE,3,6,AS8,Z,14.6
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5,8,AS8,Z,15.8
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5,8,AS8,E,20.6
JAGUAR,XJL AWD PORTFOLIO,FULL-SIZE,3,6,AS8,Z,14.7
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5,8,AS8,Z,15.8
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5,8,AS8,E,20.6
JAGUAR,XJR,FULL-SIZE,5,8,AS8,Z,15.8
JAGUAR,XJR LWB,FULL-SIZE,5,8,AS8,Z,15.8
JAGUAR,XK CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.1
JAGUAR,XK COUPE,MINICOMPACT,5,8,AS6,Z,14.8
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.9
JAGUAR,XKR COUPE,MINICOMPACT,5,8,AS6,Z,15.6
JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.9
JAGUAR,XKR-S COUPE,MINICOMPACT,5,8,AS6,Z,15.6
JEEP,CHEROKEE,SUV - SMALL,2.4,4,A9,X,10.9
JEEP,CHEROKEE,SUV - SMALL,3.2,6,A9,X,12.3
JEEP,CHEROKEE 4X4,SUV - SMALL,2.4,4,A9,X,11.3
JEEP,CHEROKEE 4X4,SUV - SMALL,3.2,6,A9,X,12.5
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,2.4,4,A9,X,11.4
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.5
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,2.4,4,A9,X,12.1
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6,A9,X,13.4
JEEP,COMPASS,SUV - SMALL,2,4,AV,X,10.7
JEEP,COMPASS,SUV - SMALL,2,4,A6,X,11.1
JEEP,COMPASS,SUV - SMALL,2,4,M5,X,10.2
JEEP,COMPASS,SUV - SMALL,2.4,4,A6,X,11.1
JEEP,COMPASS,SUV - SMALL,2.4,4,M5,X,10.3
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.4
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,M5,X,10.3
JEEP,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7
JEEP,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8,A8,X,17.3
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3,6,A8,D,11.2
JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,X,13.9
JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,E,17.7
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8,A8,Z,18.5
JEEP,PATRIOT,SUV - SMALL,2,4,AV,X,10.7
JEEP,PATRIOT,SUV - SMALL,2,4,A6,X,11.1
JEEP,PATRIOT,SUV - SMALL,2,4,M5,X,10.2
JEEP,PATRIOT,SUV - SMALL,2.4,4,A6,X,11.1
JEEP,PATRIOT,SUV - SMALL,2.4,4,M5,X,10.3
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,A6,X,11.4
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.3
JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7
JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,A5,X,14.1
JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,M6,X,14.2
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6,A5,X,14.8
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6,M6,X,15
KIA,CADENZA,FULL-SIZE,3.3,6,A6,X,12.7
KIA,FORTE,MID-SIZE,1.8,4,A6,X,9.6
KIA,FORTE,MID-SIZE,1.8,4,M6,X,9.3
KIA,FORTE,MID-SIZE,2,4,A6,X,9.8
KIA,FORTE,MID-SIZE,2,4,M6,X,9.7
KIA,FORTE 5,FULL-SIZE,1.6,4,A6,X,11.1
KIA,FORTE 5,FULL-SIZE,1.6,4,M6,X,11.1
KIA,FORTE 5,FULL-SIZE,2,4,A6,X,9.7
KIA,FORTE 5,FULL-SIZE,2,4,M6,X,9.8
KIA,FORTE KOUP,COMPACT,1.6,4,A6,X,10.6
KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.8
KIA,FORTE KOUP,COMPACT,2,4,A6,X,9.6
KIA,FORTE KOUP,COMPACT,2,4,M6,X,9.8
KIA,OPTIMA,MID-SIZE,2,4,A6,X,11.7
KIA,OPTIMA,MID-SIZE,2.4,4,A6,X,10.2
KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5
KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4,AS6,X,6.7
KIA,RIO,COMPACT,1.6,4,A6,X,8.7
KIA,RIO,COMPACT,1.6,4,M6,X,8.7
KIA,RIO ECO,COMPACT,1.6,4,A6,X,8.5
KIA,RONDO,STATION WAGON - MID-SIZE,2,4,A6,X,10.5
KIA,RONDO,STATION WAGON - MID-SIZE,2,4,M6,X,10.8
KIA,SEDONA,MINIVAN,3.5,6,A6,X,13.7
KIA,SORENTO,SUV - SMALL,2.4,4,A6,X,11.8
KIA,SORENTO,SUV - SMALL,3.3,6,A6,X,12.9
KIA,SORENTO 4WD,SUV - SMALL,2.4,4,A6,X,12.3
KIA,SORENTO 4WD,SUV - SMALL,3.3,6,A6,X,13.4
KIA,SOUL,STATION WAGON - SMALL,1.6,4,A6,X,9.8
KIA,SOUL,STATION WAGON - SMALL,1.6,4,M6,X,9.9
KIA,SOUL,STATION WAGON - SMALL,2,4,A6,X,10.1
KIA,SOUL ECO Dynamics,STATION WAGON - SMALL,2,4,A6,X,9.7
KIA,SPORTAGE,SUV - SMALL,2.4,4,A6,X,11.4
KIA,SPORTAGE,SUV - SMALL,2.4,4,M6,X,12.9
KIA,SPORTAGE AWD,SUV - SMALL,2,4,A6,X,12.7
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,A6,X,12
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,A7,Z,22.8
LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10,A6,Z,18
LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10,M6,Z,20.6
LAND ROVER,LR2,SUV - SMALL,2,4,AS6,Z,13.5
LAND ROVER,LR4,SUV - STANDARD,3,6,AS8,Z,16.3
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2,4,AS9,Z,11.3
LAND ROVER,RANGE ROVER EVOQUE COUPE,SUV - SMALL,2,4,AS9,Z,11.3
LAND ROVER,RANGE ROVER LWB V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,18
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,17.2
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,E,25
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC,SUV - STANDARD,3,6,AS8,Z,14.2
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,Z,14.2
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,E,19.4
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,17.3
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,16.6
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,E,24
LAND ROVER,RANGE ROVER V6 3.0 SC,SUV - STANDARD,3,6,AS8,Z,14.1
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,Z,14.1
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,E,19.4
LAND ROVER,RANGE ROVER V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,18
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,17.2
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,E,25
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8
LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,11.3
LEXUS,GS 350,MID-SIZE,3.5,6,AS8,Z,12.1
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.5
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,7.7
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,15.7
LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,11.2
LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8
LEXUS,IS 250 C,SUBCOMPACT,2.5,6,AS6,Z,11.2
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.2
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.5
LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,12.1
LEXUS,IS F,SUBCOMPACT,5,8,AS8,Z,14.6
LEXUS,LS 460,MID-SIZE,4.6,8,AS8,Z,14.5
LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,15.1
LEXUS,LS 460 L AWD,MID-SIZE,4.6,8,AS8,Z,15.1
LEXUS,LS 600h L,MID-SIZE,5,8,AV8,Z,12
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,18.8
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS6,X,13.3
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.7
LEXUS,RX 450h AWD,SUV - SMALL,3.5,6,AV6,Z,7.9
LINCOLN,MKS AWD,FULL-SIZE,3.5,6,AS6,X,13.7
LINCOLN,MKS AWD,FULL-SIZE,3.7,6,AS6,X,13.1
LINCOLN,MKT AWD,SUV - STANDARD,3.5,6,AS6,X,14.8
LINCOLN,MKT LIVERY,SPECIAL PURPOSE VEHICLE,2,4,AS6,X,11.5
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14
LINCOLN,MKX AWD,SUV - SMALL,3.7,6,AS6,X,13.7
LINCOLN,MKZ,MID-SIZE,2,4,AS6,X,10.5
LINCOLN,MKZ AWD,MID-SIZE,3.7,6,AS6,X,13.1
LINCOLN,MKZ HYBRID,MID-SIZE,2,4,AV,X,6.2
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5
MASERATI,GHIBLI,MID-SIZE,3,6,AS8,Z,15.2
MASERATI,GHIBLI AWD,MID-SIZE,3,6,AS8,Z,15.2
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.6
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3,6,AS8,Z,15.9
MAZDA,CX-5,SUV - SMALL,2,4,AS6,X,8.9
MAZDA,CX-5,SUV - SMALL,2,4,M6,X,9
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.6
